time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-13 00:00:00+00:00,30,4,337,61
2024-03-14 00:00:00+00:00,50,11,421,78
2024-03-15 00:00:00+00:00,51,21,554,97
2024-03-16 00:00:00+00:00,14,6,220,52
2024-03-17 00:00:00+00:00,7,7,90,39
2024-03-18 00:00:00+00:00,28,14,467,88
2024-03-19 00:00:00+00:00,16,10,297,85
2024-03-20 00:00:00+00:00,45,17,417,95
2024-03-21 00:00:00+00:00,58,23,749,74
2024-03-22 00:00:00+00:00,52,19,374,66
2024-03-23 00:00:00+00:00,16,11,302,44
2024-03-24 00:00:00+00:00,7,7,339,50
2024-03-25 00:00:00+00:00,42,9,784,84
2024-03-26 00:00:00+00:00,26,10,970,104
