time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-20 00:00:00+00:00,41,13,399,85
2024-03-21 00:00:00+00:00,58,23,749,74
2024-03-22 00:00:00+00:00,52,19,374,66
2024-03-23 00:00:00+00:00,16,11,302,44
2024-03-24 00:00:00+00:00,7,7,339,50
2024-03-25 00:00:00+00:00,42,9,784,84
2024-03-26 00:00:00+00:00,26,10,995,109
2024-03-27 00:00:00+00:00,32,11,601,93
2024-03-28 00:00:00+00:00,32,19,336,73
2024-03-29 00:00:00+00:00,12,7,778,81
2024-03-30 00:00:00+00:00,14,9,163,47
2024-03-31 00:00:00+00:00,6,6,317,54
2024-04-01 00:00:00+00:00,52,12,357,57
2024-04-02 00:00:00+00:00,35,18,877,88
