time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-25 00:00:00+00:00,38.0,5.0,777,80
2024-03-26 00:00:00+00:00,26.0,10.0,995,109
2024-03-27 00:00:00+00:00,32.0,11.0,601,93
2024-03-28 00:00:00+00:00,32.0,19.0,336,73
2024-03-29 00:00:00+00:00,12.0,7.0,778,81
2024-03-30 00:00:00+00:00,14.0,9.0,163,47
2024-03-31 00:00:00+00:00,6.0,6.0,317,54
2024-04-01 00:00:00+00:00,52.0,12.0,357,57
2024-04-02 00:00:00+00:00,35.0,18.0,879,89
2024-04-03 00:00:00+00:00,28.0,15.0,560,78
2024-04-04 00:00:00+00:00,21.0,10.0,721,78
2024-04-05 00:00:00+00:00,14.0,9.0,497,72
2024-04-06 00:00:00+00:00,40.0,11.0,292,42
2024-04-07 00:00:00+00:00,9.0,8.0,483,48
2024-04-08 00:00:00+00:00,,,7,3
